saving results in /home/fabian/simulation_results/transfer/lg=20_Vd=0.2_started:2015-07-23-15-16-19
(258/1000), V={0, 0.2, -0.145045}: 10 iterations, reldev=0.208157, n_E = 7752
(259/1000), V={0, 0.2, -0.144444}: 10 iterations, reldev=0.207927, n_E = 7736
(260/1000), V={0, 0.2, -0.143844}: 10 iterations, reldev=0.207692, n_E = 7736
(261/1000), V={0, 0.2, -0.143243}: 10 iterations, reldev=0.20745, n_E = 7736
(262/1000), V={0, 0.2, -0.142643}: 10 iterations, reldev=0.207227, n_E = 7736
(263/1000), V={0, 0.2, -0.142042}: 10 iterations, reldev=0.206998, n_E = 7740
(264/1000), V={0, 0.2, -0.141441}: 10 iterations, reldev=0.206798, n_E = 7692
(265/1000), V={0, 0.2, -0.140841}: 10 iterations, reldev=0.206591, n_E = 7704
(266/1000), V={0, 0.2, -0.14024}: 10 iterations, reldev=0.206393, n_E = 7700
(267/1000), V={0, 0.2, -0.13964}: 10 iterations, reldev=0.2062, n_E = 7640
(268/1000), V={0, 0.2, -0.139039}: 10 iterations, reldev=0.206015, n_E = 7672
(269/1000), V={0, 0.2, -0.138438}: 10 iterations, reldev=0.205836, n_E = 7724
(270/1000), V={0, 0.2, -0.137838}: 10 iterations, reldev=0.205665, n_E = 7716
(271/1000), V={0, 0.2, -0.137237}: 10 iterations, reldev=0.205505, n_E = 7656
(272/1000), V={0, 0.2, -0.136637}: 10 iterations, reldev=0.205332, n_E = 7676
(273/1000), V={0, 0.2, -0.136036}: 10 iterations, reldev=0.205175, n_E = 7672
(274/1000), V={0, 0.2, -0.135435}: 10 iterations, reldev=0.20506, n_E = 7668
(275/1000), V={0, 0.2, -0.134835}: 10 iterations, reldev=0.204934, n_E = 7720
(276/1000), V={0, 0.2, -0.134234}: 10 iterations, reldev=0.204718, n_E = 7680
(277/1000), V={0, 0.2, -0.133634}: 10 iterations, reldev=0.204756, n_E = 7760
(278/1000), V={0, 0.2, -0.133033}: 10 iterations, reldev=0.20461, n_E = 7748
(279/1000), V={0, 0.2, -0.132432}: 10 iterations, reldev=0.204217, n_E = 7724
(280/1000), V={0, 0.2, -0.131832}: 10 iterations, reldev=0.20408, n_E = 7752
(281/1000), V={0, 0.2, -0.131231}: 10 iterations, reldev=0.204281, n_E = 7768
(282/1000), V={0, 0.2, -0.130631}: 10 iterations, reldev=0.204023, n_E = 7720
(283/1000), V={0, 0.2, -0.13003}: 10 iterations, reldev=0.203972, n_E = 7668
(284/1000), V={0, 0.2, -0.129429}: 10 iterations, reldev=0.203926, n_E = 7740
(285/1000), V={0, 0.2, -0.128829}: 10 iterations, reldev=0.204019, n_E = 7788
(286/1000), V={0, 0.2, -0.128228}: 10 iterations, reldev=0.203894, n_E = 7720
(287/1000), V={0, 0.2, -0.127628}: 10 iterations, reldev=0.203847, n_E = 7732
(288/1000), V={0, 0.2, -0.127027}: 10 iterations, reldev=0.20385, n_E = 7776
(289/1000), V={0, 0.2, -0.126426}: 10 iterations, reldev=0.203869, n_E = 7700
(290/1000), V={0, 0.2, -0.125826}: 10 iterations, reldev=0.203899, n_E = 7640
(291/1000), V={0, 0.2, -0.125225}: 10 iterations, reldev=0.20395, n_E = 7688
(292/1000), V={0, 0.2, -0.124625}: 10 iterations, reldev=0.204012, n_E = 7716
(293/1000), V={0, 0.2, -0.124024}: 10 iterations, reldev=0.203834, n_E = 7688
(294/1000), V={0, 0.2, -0.123423}: 10 iterations, reldev=0.204402, n_E = 7760
(295/1000), V={0, 0.2, -0.122823}: 10 iterations, reldev=0.204504, n_E = 7668
